,,"$108,020 per year",,,,,,,,
,,$51.93 per hour,,,,,,,,
,,Bachelor's degree,,,,,,,,
,,None,,,,,,,,
,,None,,,,,,,,
,,"202,900",,,,,,,,
,,36% (Much faster than average),,,,,,,,
,,"73,100",,,,,,,,
,,,,,,,,,,
Quick Facts: Data Scientists,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33","Click State/Area tab, then the job name, then scroll to the second graph","Click work environment tab, find info on remote/office, teams or alone",
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment
data scientist,108020,BS,None,None,202900,36,73100,DC,"office, remote, outside",team or solo
"Advertising, Promotions, and Marketing Managers	",156580,BA,None,None,411300,8,31100,NY,"office, outside",team  
Financial and Investment Analyst,99890,BS,None,None,404800,9,37900,MA,"office, travel",team
"Web Developers and Digital Designers	",92750,BA,None,None,222600,8,16800,WA,"office, remote, outside",team or solo
Project Management Specialists,98580,BS,None,None,973600,7,69900,TX,"office, travel",team
Economist,115730,MS,None,None,17500,5,900,DC,"office, remote ",team or solo 
Financial Managers,156100,BS,None,None,837100,17,138300,IL,"office, remote",team
Management Analyst,99410,BS,None,None,1018300,11,107900,VA,"office, remote, outside",team  
